lig-ID,premin-score-POSIT,docking-score-POSIT,Vina-score-premin,Vina-score-min,gnina-RMSD,gnina-dock-Affinity,gnina-Affinity-var,CNN_dock_score,CNN_dock_affinity,CNNvariance
ASAP-0027820,0.0,-11.390448570251465,-9.49,-9.84,0.35363,-9.9622,-1.94119,0.90993,-7.83582,0.20084
ASAP-0015508,0.0,-12.057960510253906,-9.569,-9.595,0.32548,-9.80259,-1.8499,0.95078,-7.35753,0.0742
ASAP-0014791,0.0,-10.895078659057615,-8.8,-9.127,0.38156,-9.22757,-1.34778,0.84736,-7.41287,0.4457
ASAP-0027791,0.0,-14.536502838134766,-9.876,-10.109,0.38524,-10.26385,-1.44811,0.95488,-7.9018,0.08958
ASAP-0017451,0.0,-14.315252304077148,-8.736,-8.806,0.3389,-9.05225,-2.07534,0.98003,-7.56887,0.14974
ASAP-0011368,0.0,-11.830074310302734,-9.052,-9.318,0.71018,-9.77627,-1.81345,0.92443,-7.37629,0.07574
ASAP-0008409,0.0,-12.27093505859375,-7.561,-7.716,0.37656,-8.52425,-1.04153,0.68511,-6.26964,0.03355
ASAP-0011137,0.0,-13.71452522277832,-9.58,-9.656,0.33273,-9.85264,-1.6754,0.90841,-7.4351,0.11015
ASAP-0012337,0.0,-13.271923065185549,-9.118,-9.169,0.22948,-9.32906,-1.05282,0.9696,-7.02767,0.08614
ASAP-0014776,0.0,-11.635336875915527,-9.501,-9.828,0.66869,-10.15075,-1.43002,0.91313,-7.15254,0.10173
ASAP-0029469,0.0,-13.437871932983398,-9.675,-9.765,0.64398,-10.29918,-2.0194,0.86826,-7.72335,0.12784
ASAP-0016504,0.0,-11.094670295715332,-9.154,-9.137,0.42648,-9.79025,-1.88234,0.76847,-7.07909,0.1423
ASAP-0008492,0.0,-12.21645450592041,-9.061,-9.416,0.57515,-9.3994,-1.10497,0.62813,-7.29407,0.16603
ASAP-0000651,0.0,-10.396401405334473,-8.851,-9.106,0.6086,-9.06588,-1.42876,0.76097,-7.05811,0.0962
ASAP-0028021,0.0,-12.257756233215332,-9.303,-9.377,0.36617,-9.56483,-2.25995,0.86278,-7.59669,0.10387
ASAP-0014608,0.0,-11.561565399169922,-9.46,-9.668,0.61987,-9.91347,-1.66471,0.813,-7.40324,0.15332
ASAP-0008392,0.0,-11.463966369628906,-7.642,-7.895,0.39233,-8.41615,-0.50029,0.91571,-6.19442,0.05776
ASAP-0016505,0.0,-11.41393756866455,-9.066,-9.133,0.41131,-9.70462,-2.02977,0.77227,-7.06935,0.1048
ASAP-0022459,0.0,-15.16868782043457,-8.781,-8.944,0.46371,-10.02226,-0.71426,0.92773,-7.61541,0.04946
ASAP-0028809,0.0,-14.692734718322754,-9.213,-9.229,0.24229,-9.31366,-1.27129,0.95505,-7.57831,0.04696
ASAP-0011347,0.0,-12.996883392333984,-9.563,-9.503,0.45685,-9.67392,-1.89983,0.87352,-7.14757,0.089
ASAP-0028946,0.0,-13.075982093811035,-9.455,-9.562,0.32472,-9.75037,-1.55101,0.92082,-7.75997,0.07918
ASAP-0023351,0.0,-14.379144668579102,-10.258,-10.274,0.32929,-10.6825,-2.02497,0.83523,-7.38945,0.08937
ASAP-0008442,0.0,-9.24815559387207,-8.197,-8.359,0.47749,-8.53077,-0.82029,0.52958,-6.04724,0.05601
ASAP-0017664,0.0,-12.109052658081056,-10.084,-10.395,0.31612,-10.45721,-2.31924,0.86486,-7.935,0.12844
ASAP-0016106,0.0,-12.722870826721191,-9.783,-9.962,0.47603,-10.10335,-1.78154,0.97135,-7.4859,0.09116
ASAP-0016540,0.0,-12.657011985778809,-9.532,-9.904,0.45342,-10.0352,-2.05274,0.81526,-7.65529,0.13533
ASAP-0017450,0.0,-11.513547897338867,-8.811,-9.037,0.26867,-9.16532,-1.45897,0.80971,-7.2589,0.1448
ASAP-0016508,0.0,-12.387018203735352,-9.445,-9.566,0.44132,-10.12998,-1.50626,0.927,-6.84333,0.07457
ASAP-0015114,0.0,-11.349878311157228,-9.352,-9.728,0.68293,-9.78681,-2.36128,0.79042,-7.5395,0.21964
ASAP-0008609,0.0,-14.555036544799805,-7.604,-7.812,0.36681,-8.36735,-0.95593,0.91252,-6.51215,0.068
ASAP-0029104,0.0,-12.23948860168457,-9.292,-9.439,0.80081,-9.97849,-2.49111,0.79803,-7.7274,0.11904
ASAP-0017238,0.0,-12.151939392089844,-9.122,-9.338,0.39474,-9.54598,-2.49681,0.81184,-7.63386,0.13197
ASAP-0011343,0.0,-11.533620834350586,-9.133,-9.249,0.53964,-9.44816,-1.65705,0.93231,-7.04409,0.09605
ASAP-0014753,0.0,-10.132572174072266,-9.193,-9.506,0.79113,-9.91579,-1.28774,0.87636,-7.07173,0.09297
ASAP-0011133,0.0,-13.11794090270996,-9.618,-9.68,0.33338,-9.83045,-1.37182,0.96785,-7.48828,0.06804
ASAP-0000734,0.0,-11.7277193069458,-9.404,-9.375,0.16724,-9.52395,-1.53786,0.89585,-6.75119,0.08158
ASAP-0015648,0.0,-13.956849098205566,-9.362,-9.408,0.33639,-9.58709,-2.02839,0.98161,-7.78258,0.09603
ASAP-0000523,0.0,-10.117258071899414,-8.174,-8.777,0.56724,-9.28005,-0.78742,0.92405,-6.72774,0.30454
ASAP-0021240,0.0,-12.91862678527832,-9.326,-9.43,0.43082,-9.73407,-1.79587,0.92664,-7.69719,0.09436
ASAP-0008639,0.0,-9.520731925964355,-7.956,-8.225,0.62922,-8.77014,-0.91887,0.92347,-6.62203,0.09525
ASAP-0027999,0.0,-13.549983024597168,-9.35,-9.399,0.64354,-9.88519,-2.18135,0.90541,-7.53864,0.10919
ASAP-0028932,0.0,-10.367512702941896,-9.031,-9.318,0.53454,-9.73379,-1.55666,0.93801,-7.76505,0.0704
ASAP-0000373,0.0,-12.764095306396484,-8.822,-8.948,0.83062,-9.38881,-1.75768,0.77755,-7.59784,0.18102
ASAP-0011141,0.0,-13.116846084594728,-9.215,-9.369,0.31461,-9.38285,-2.07328,0.93188,-7.29958,0.16432
ASAP-0011485,0.0,-9.973285675048828,-9.402,-9.567,0.57075,-9.8398,-1.44628,0.89641,-7.11111,0.0607
ASAP-0008411,0.0,-12.884547233581545,-10.32,-10.364,0.20535,-10.5388,-0.42178,0.98012,-6.83783,0.04065
ASAP-0027690,0.0,-11.82245922088623,-9.526,-9.827,0.3515,-9.88286,-1.87872,0.85025,-7.54233,0.05445
ASAP-0008405,0.0,-14.049152374267578,-8.446,-8.704,0.20507,-9.19453,-1.45969,0.97696,-7.01975,0.01395
